dialect,standard
시다,-오
시이소,-십시오
구마는,-건마는
그로,-게끔
기나,-거나
고,-냐
디이,-더니
ㄹ락,-려고
을락,-으려고
으꺼마,-을게
으래이,-으라
으모,-으면
으이소,-으십시오
으이께,-으니까
이라,-너라
은교,-은가요
을꾸마,-으마
읍네꺼,-습니까
읍네더,-습니다
읍디꺼,-습디까
읍디더,-습디다
꺼마,-ㄹ게
ㄴ교,-ㄴ가요
ㄴ께네,-니까
나따나,-나마
십니꺼,-습니까
ㅂ디더,-ㅂ디다
ㅂ디꺼,-ㅂ디까
ㅂ니꺼,-ㅂ니까
ㅁ서,-면서
멘,-면서
몬,-면
느매,-는구먼
는구매,-는구먼
니이껴,-ㅂ니까
더만,-더구먼
