dialect,standard
엉간히,어지간히
엉거정엉거정,아장아장
엉떵시리,엉뚱스레
엉칸,워낙
엊그지,엊그제
에럽시리,어렵사리
에벅,제법
에법, 제법
에부,제법
에북,제법
에사로,예사로
에치,에취
여내,이내
여직기,이제껏
여척엄시,깔축없이
여축엄시,깔축없이
역부러,일부러
열라,보통 이상으로
독살시리,독살스레
도툼도툼,보기 좋을 정도로 작으면서도 두꺼운 모양
딴따이,딴딴히
디뚱디뚱,뒤뚱뒤뚱
돌래돌래,둘레둘레
돌방돌방,동글동글
동개동개,차곡차곡
동구수룸이,동그스름히
동굴동굴,동글동글
두근반세근반,두근두근
되기,되게
되나깨나,도나캐나
되따,도리어
되띠,도리어
두덕두덕,누덕누덕
두둑두둑,누덕누덕
두리,두루
두리두리,두루두루
두시엄시,두서없이
둥굴널쩍이,둥글넓적이
둥굴둥굴,둥글둥글
둥둥,소맷부리나 바짓부리를 거침없이 듬성하게 말아 올리는 모양
드러,더러
득신득신,득실득실
까꿀로,가꾸로
든드이,든든히
든방난방,들락날락
듣다몬해,듣다못해
들석,들썩
들석들석,들썩들썩
디기,되게
디뚱,뒤뚱
디럭디럭,뒤룩뒤룩
디럭디럭,뒤룩뒤룩
디리따,들입다
디미차,뒤미처
디비티리,거꾸로
디숭숭,뒤숭숭
디적디적,뒤적뒤적
디척디척,뒤척뒤척
딜이,들입다
딩굴딩굴,뒹굴뒹굴
볼구수룸이,볼그스름히
따그닥,딸그락
따그닥따그닥,딸그락딸그락
따글따글,뽀글뽀글
따글따글,딱따글딱따글
따따부타,따따부따
따리,따로
따리따리,따로따로
따문따문,드문드문
딱쿵,딱콩
딱쿵딱쿵,딱콩딱콩
딴에는,딴은
딸각,딸꾹
딸각딸각,딸꾹딸꾹
딸꺼닥,딸까닥
딸딸,솥이나 그릇의 바닥을 긁는 소리
땁뚜시리,따뜻이
떠들석떠들석,떠들썩떠들썩
떨꺽,덜컥
떼곡떼곡,데꺽데꺽
떼나개나,도나캐나
떼나깨나,도나캐나
떼똑,되똑
떽벨시리,불뚝불뚝
또가,또
또나캐나,도나캐나
또닥또닥,누덕누덕
또독또독,누덕누덕
또로,따로
또로록,또르르 
또박또박,아장아장
똑,꼭
똑뚝히,똑똑히
똑띡이,똑똑히
똘방똘방,똥글똥글
똥굴똥굴,똥글똥글
똥실똥실,동글동글
뚜둑뚜둑,누덕누덕
뚜둑뚜둑,뚝뚝
뚤레뚤레,둘레둘레
뚱굴뚱굴,둥글둥글
뚱딴지겉이,뚱딴지같이
뜬금엄시,뜬금없이
뜸뜸,뜸북뜸북
뜸적뜸적,뜸직뜸직
뜸적이,뜸직이
띠금띠금,띄엄띄엄
띠띠,뛰뛰빵빵
띠띠빵빵,뛰뛰빵빵
띠적띠적,끼적끼적
띠적띠적,뒤적뒤적
띨띨,툴툴
배끼,괜히
배백지,백지
배시기,배시시
배싹,바싹
배짝,바짝
백제,공연히
백주,공연히
백지,공연히
버,벌써
버뜻하면,걸핏하면
버릇엄시,버릇없이
버시러,벌써
버시로,벌써
벌시로,벌써
버실버실,버슬버슬
버쎄,벌써
버짓이,버젓이
번거러이,번거로이
번지리,번지레
번페시리,번폐스레
벌그리,벌그레
벌그수룸이,벌그스름히
벌떠꿍벌떠꿍,벌컥벌컥
벌럼,빨리
벌로,건성으로
벌룸벌룸,벌름벌름
벌서로,벌써
벌세,벌써
벌시러,벌써
벌시로,벌써
베락겉이,벼락같이
베무이,어련히
베미,어련히
벡주,공연히
벡지,공연히
벡지로,공연히
벤암엄시,변함없이
벨달리,별달리
벨라,별로
벨로이,별로
벨반,별반
벨벨시리,별스럽게
벨안간,별안간
벨시리,별스레
벨쭉시리,별스레
벨축시리,별스레
보골보골,보글보글
보꾼,볼끈
보도,모두
보돌보돌,보들보들
보아하이,보아하니
보잘것엄시,보잘것없이
본동만동,본척만척
본데엄시,본데없이
본디없이,본데없이
본치만치,본체만체
볼고롬이,불그름히
볼꼰,볼끈
볼사로,벌써
볼세,벌써
볼시로,벌써
볼시리,별스레
볼쎄,벌써
볼쑤로,벌써
볼씨로,벌써
볼쪽시리,별스레
볼촉시리,별나게
볼촉시리,별쭝스레
볼품엄시,볼품없이
부굴부굴,부글부글
부대,부디
부데,부디
부레로,부러
부리나게,부리나케
부리내키,부리나케
부울로,일부러
부지리,부지런히
부질엄시,부질없이
북실북실,북슬북슬
오이로,오히려
오째,어찌
온,원래
온히,온전히
올매나,얼마나
우두쿠이,우두커니
우두키이,우두커니
우드커이,우두커니
우서내,우선
우시내,우선
우악시리,우악스레
우짜다,어쩌다
우짜든지,아무쪼록
우짜모,어쩌면
우짜몬,어쩌면
우짠지,어쩐지
우쩠든,어쨌든
우찌,어찌
운제,언제
울울,꿀꿀
원캉,워낙
유달시리,유별스레
윽빨로,대단히
음숭시리,음흉스레
이땀가다가,가끔
이마이,이만큼
이모,이미
이불로,일부러
이사로,예사로
이야이몬,이왕이면
이야이면,이왕이면
이야이문,이왕이면
이양지,이왕
이와이몬,이왕이면
이익지,이제껏
이적디기,이제껏
이적때기,이제껏
이점저점,겸사겸사
이직지,이제껏
이차,예사로
인간이,엔간히
인,이리
인가이,어지간히
인간히,어지간히
인지,인제
일부리,일부러
일쩍,일찍
일쩍이,일찍이
일터로,이를테면
일투로,이를테면
잉가이,어지간히
기태어,구태여
기티,구태여
까골까골,개굴개굴
껠리,게을리
까딱하모,까딱하면
까덜까덜,가닥가닥
까딱,가득
까딱하믄,까딱하면
까딱허몬,까딱하면
까떡하모,까딱하면
까실까실,까슬까슬
깍,꽉
깍깍,개굴개굴
깐,가끔
깔뚝,딸꾹
깔뚝깔뚝,딸꾹딸꾹
깕작깕작,갉작갉작
깨,꽤
깨고락깨고락,개굴개굴
깨골깨골,개굴개굴
깨굴깨굴,개굴개굴
깨깍시리,새삼스레
깨약깨약,깨작깨작
깨옥깨옥,개굴개굴
깨욱깨욱,개굴개굴
깩,꽥
깽,꽹
꺼꾸리,거꾸로
꺼덕하먼,까딱하면
꺼떡지떡,꺼떡꺼떡
꺼떡하마,까딱하면
꺼떡하모,까딱하면
꺼떡하모,걸핏하면
꺼떡하몬,까딱하면
꺼떨하몬,까딱하면
꺼실꺼실,꺼슬꺼슬
꺼씬하먼,걸핏하면
껄떡,딸꾹
껄떡껄떡,딸꾹딸꾹
껍벅껍벅,끔벅끔벅
껑껑,낑낑
께까다로이,꾀까다로이
께시리,꾀가 있게
께작께작,께적께적
께을리,게을리
노골노골,노글노글
꼬니,꽤
꼬돌꼬돌,꼬들꼬들
꼬따시,곱다시
꼬랑꼬랑,고롱고롱
꼬로록꼬로록,꼬르륵꼬르륵
꼬록,꼬르륵
꼬록꼬록,꼬르륵꼬르륵
꼴따시,곱다시
꼴랑,고작
꼴랑,겨우
꼽다시,고스란히
꼽다시,곱다시
꼽닥시리,까다로이
꾸겜없이,꾸김없이
꾸개꾸개,꾸깃꾸깃
꾸게꾸게,꾸깃꾸깃
꾸둘꾸둘,꾸들꾸들
꾸루룩,꾸르륵
꾸루룩꾸루룩,꾸르륵꾸르륵
꾸무적꾸무적,꿈적꿈적
꾸부둥꾸부둥,꾸부정꾸부정
꾸불뚱꾸불뚱,꾸불텅꾸불텅
꾸불퉁꾸불퉁,꾸불텅꾸불텅
꿀딱,꿀컥
꿀뚝겉이,굴뚝같이
꿀룽,꿀렁
꿈겉이,꿈같이
끼밈없이,꾸밈없이
나라히,나란히
난양대로,제멋대로
난장난장,난작난작
난제,얼마의 시간이 지난 뒤에
날나라이,나란히
날나라히,나란히
날나란히,나란히
날날라히,나란히
날날하이,나란히
날날히,나란히
날라리,나란히
날래,빨리
날숨,매일
날씨금,매일
내나,역시
내내리,내리내리
내더리,내내
내두룩,내내
내리다리,내리
내미,그대로
내얼,내일
내치,내처
내치,내내
낼름,날름
냉정시리,냉정스레
냉캄,냉큼
넉실넉실,느릿느릿
널쩍널쩍,널찍널찍
널씩널씩,널찍널찍
넘데도록,남과 같은 정도로
넘데두룩,남과 같은 정도로
넘멀리,남몰래
넘사시리,남우세스레
넘우,너무
넙덕넙덕,넙적넙적
노랑노랑,노릇노릇
노릿노릿,노릇노릇
신질로,빨리
실,슬며시
실거머니,슬그머니
실그머이,슬그머니
실뭇실뭇,슬몃슬몃
실쩍,슬쩍
실찌기,슬쩍
싸구,빨리
쌍나라히,나란히
쌍나란히,나란히
쌔리,사정없이
쌔이쌔이,빨리빨리
쌔키,속히
쌩으로,생으로
쌩판,생판
써기,속히
써끼,속히
쎄기,속히
쏙쏙딜이,속속들이
쎅히,속히
쏘뭇쏘뭇,촘촘히
씨리,고루
씨방,시방
알맞차,알맞추
아까징이,아까
아래께,그저께
아리끼,그저께
아매이,아마
아적,아직
아질아질,아슬아슬
안자사,이제야
안자,인제
안자서,이제야
안중,아직
알강달강,왈강달강
물색엄시,물색없이
앙상시리,앙상스레
앙증시리,앙증스레
앙콤시리,앙큼스레
애낌엄시,아낌없이
애북,제법
애살시리,애살스레
애애,야옹야옹
애옹애옹,야옹야옹
애옹,야옹
애웅,야옹
애웅애웅,야옹야옹
앵긋쌩긋,쌩긋쌩긋
야단시리,야단스레
야뜬,여하튼
야멜시리,야멸스레
야속시리,야속스레
야심시리,야심스레
절핏하면,걸핏하면
정강키,정갈히
제고,겨우
제구로,겨우
제구리,겨우
제그나모,적이나하면
제김에,제풀에
제꾸리,겨우
제벅,제법
제복,제법
제부,제법
제북,제법
제성에,제풀에
제우,겨우
제우시,겨우
제주,죄다
제질로,저절로
추상겉이,추상같이
조매서,좀처럼
졸졸이,줄줄이
물샐틈엄시,물샐틈없이
좔,잘
죔해서,좀처럼
무다이,무단히
무나이,무난히
무난시리,무난스레
무다랍시,무단히
무단이,무단히
무댑대비,무단히
무더이,무더위
무디기무디기,무더기무더기
무디무디,무더기무더기
무모이,무모히
무사이,무사히
무시,몹시
무시기,몹시
무시쪼가리겉이,무쪽같이
무심이,무심히
무아이,무안히
무안시리,무안스레
무작시리,무작스레
무정시리,무정스레
무짜로,함부로
무차빼이로,사정없이
무탁대고,무턱대고
문제엄시,문제없이
뭇짜로,함부로
뭉그이,오래도록
뭉뚱,뭉떵
뭉뚱뭉뚱,뭉떵뭉떵
뭉퉁,뭉텅
뭉퉁뭉퉁,뭉텅뭉텅
미럭미럭,미루적미루적
미련시리,미련스레
미승미승,메슥메슥
미싱미싱,메슥메슥
미아이,미안히
미안시리,미안스레
미차,미처
미차,미처
민감이,민감히
민망시리,민망스레
민망시레, 민망스레
믿음직시리,믿음직스레
밉살시리,밉살스레
밉상시리,밉상스레
바리바리,거푸거푸
바실바실,바슬바슬
박속겉이,박속같이
반바이,반반이
반지리,반지레
발그름이,발그름히
발그리,발그레
발그스름이,발그스름히
발룸발룸,발름발름
발바리,갈가리
밤낮엄시,밤낮없이
밥맛엄시,밥맛없이
방정시리,방정스레
쳉쳉,칭칭
총총딜이,총총들이
촉시리,별스레
촌시리,촌스레
치사시리,치사스레
칼컬이,깨끗이
콩콩,꿀꿀
쿨쿨,꿀꿀
막바로,맞바로
마자,마저
막바리,맞바로
막바로,곧바로
막바리,곧바로
만날치나,만날
만부득히,만부득이
만분다해이,만분다행히
만자,마저
말금히,말끔히
말낌히,말끔히
말쩡,말끔
말캐,말끔
말쿰,말끔
말킹이,말끔
맛대로,멋대로
맛시리,맛스레
맛엄시,맛없이
망칙시리,망측스레
맞바리,맞바로
매롱매롱,말똥말똥
매분,매번
매이,많이
마이, 많이
매일겉이,매일없이
매정시리,매정스레
매착엄시,두서없이
매히,많이
맥지로,공연히
맨들맨들,매끌매끌
맬꼬미,말끄러미
맬꼼히,말끄러미
맹,맨
먼자,먼저
먼제,먼저
멀거이,멀거니
멀기,멀리
멀꾸미,물끄러미
