dialect,standard
개적다,가깝다
개접다,가깝다
개죽다,가깝다
개죽하다,가직하다
개코겉다,개코같다
개하다,귀하다
객강시럽다,객스럽다
얄구지럽다,얄궂다
거겁다,가볍다
거너수룸하다,가느스름하다
거무리하다,거무레하다
거시다,거세다
거치장시럽다,거추장스럽다
거탐하다,간탐하다
건거추룸하다,거무추레하다
건주럼하다,가지런하다
검푸다,많다
겅그럽다,가렵다
게리다,가리다
게랍다,괴롭다
게럽다,괴롭다
게상망칙하다,괴상망측하다
게슴치리하다,거슴츠레하다
겡미하다,경미하다
겡악시럽다,경악스럽다
게을받다,게으르다
게을타,게으르다
게쭐시럽다,괴팍스럽다
겍하다,격하다
겔다,게으르다
겜손시럽다,겸손스럽다
겔받다,게으르다
겡망시럽다,경망스럽다
겡사시럽다,경사스럽다
겡장시럽다,굉장스럽다
고고파다,가파르다
고곱하다,가난하다
고럽다,괴롭다
곧다,곱다
야푸다,얕다
약캅다,가늘다
얄부리하다,얄팍하다
얄부수룸하다,얄브스름하다
얇시리하다,얄브스름하다
얇식하다, 매우 얇다
얍삭하다,얄팍하다
얍삭하다,얍삽하다
양다무지다,야무지다
얖다,얕다
어더무리하다,어스레하다
어둑다,어둡다
어덕지다,언덕지다
어덕하다,어둑하다
어드컴컴하다,어두컴컴하다
어럼푸시하다,어렴풋하다
어룹다,어렵다
어리멍텅하다,흐리멍덩하다
어리석하다,어리숙하다
어방하다,어벙하다
어린없다,어림없다
어방지다,넓고 크다
어새다,억세다
어세다,억세다
어슴츠레하다,어슴푸레하다
어슴푸리하다,어슴푸레하다
어시다,궁하다
억시다,억세다
어시럽다,허무하다
어실어실허다,아슬아슬하다
어심치레하다,어슴푸레하다
어집잔다,어쭙잖다
억다,준엄하다
억살시럽다,억지스럽다
언간하다,어지간하다
언슨시럽다,지긋지긋하다
얼떼다,얼뜨다
얼런엄따,어림없다
얼른없다,어림없다
얼석다,어리석다
얼석하다,어리숙하다
얼숙하다,어리숙하다
얼척엄따,어처구니없다
엄겍하다,엄격하다
엄뚱하다,엉뚱하다
엇구지다,얄궂다
엄첩다,대견하다
엄청시럽다,엄청스럽다
엉떵시럽다,엉뚱스럽다
엉떵하다,엉뚱하다
엉살궂다,거칠다
엉청시럽다,엄청스럽다
엉퉁시럽다,퉁명스럽다
에릅다,어렵다
에은하다,가엾다
에인하다,가엾다
에지다,외지다
엥통하다,원통하다
여드럽다,열없다
여릅다,열없다
여무치다,여무지다
여척엄따,깔축없다
여축엄따,깔축없다
엲다,연하다
영척없다,주책없다
예삐다,예쁘다
예질갑다,상냥하다
오고랑하다,오그랑하다
도툼도툼하다,보기 좋을 정도로 알맞게 작으면서도 두껍다
도툼하다,도톰하다
돌방돌방하다,동글동글하다
돌방하다,동글하다
되라지다,되알지다
동구람하다,동글하다
동구랗다,동그랗다
동굴동굴하다,동글동글하다
되신하다,비슷하다
두리몽실하다,두리뭉실하다
두시엄따,두서없다
두툽다,두껍다
두팁다,두껍다
둘지다,오동통하다
둥구렇다,둥그렇다
둥구리하다,둥그스름하다
둥굴널쩍하다,둥글넓적하다
둥굴둥굴하다,둥글둥글하다
둥지다,굵다
뒤다,되다
드럽다,더럽다
들석하다,들썩하다
디빈덕시럽다,변덕스럽다
디숭궂다,일솜씨가 허술하다
디숭하다,뒤숭숭하다
디숭하다,뒤퉁스럽다
디신하다,비슷하다
디쩍하다,건방지다
따년하다,딴딴하다
따따무리하다,뜨뜻무레하다
따뜨무리하다,뜨뜻무레하다
따뜨하다,따뜻하다
땅땅하다,땅딸하다
땅잘막하다,땅딸막하다
떠들석떠들석하다,떠들썩떠들썩하다
떠들석하다,떠들썩하다
떠룸하다,떠름하다
떠벙하다,떨떠름하다
떠부룩하다,더부룩하다
우암하다,우람하다
떨빵하다,어수룩하다
떱다,덥다
떱떠룸하다,떨떠름하다
떼똑하다,되똑하다
떼앗하다,따끔하다
떽벨나다,뚝별나다
떽벨시럽다,뚝별스럽다
또깝다,두렵다
또깝다,도톰하다
또깝하다,두툼하다
또록또록하다,똘똘하다
똑똑다,똑똑하다
똘방똘방하다,똥글똥글하다
똥구랗다,똥그랗다
똥구리하다,똥그스름하다
똥구수룸하다,똥그스름하다
똥굴똥굴하다,똥글똥글하다
똥실똥실하다,동글동글하다
뚜겁다,두껍다
뚜겁다,따갑다
뚜꿉다,두껍다
뚝지다,굵다
뚱구렇다,둥그렇다
뚱구리하다,둥그스름하다
뚱구수룸하다,둥그스름하다
뚱굴다,둥글다
뚱굴뚱굴하다,둥글둥글하다
뚱글다,둥글다
뚱딴지겉다,뚱딴지같다
뚱치다,뚱뚱하다
뜨뜨미지근하다,뜨뜻미지근하다
뜨뜨하다,뜨뜻하다
뜨시하다,뜨습다
뜩별나다,특별나다
뜰찍해하다,뜨악하다
뜸적하다,뜸직하다
뜸적뜸적하다,뜸직뜸직하다
띠겁다,뜨겁다
띠띠하다,뚝뚝하다
띠어나다,뛰어나다
띤띤하다,딴딴하다
띨빵하다,어벙하다
띵띵하다,뚱뚱하다
배고푸다,배고프다
배뻥끗하다,배부르다
배잡다,배좁다
배접다,배좁다
인간하다,엔간하다
버거럽다,버겁다
버릇엄따,버릇없다
버실버실하다,버슬버슬하다
번거럽다,번거롭다
번네시럽다,번뇌스럽다
번드럼하다,번드레하다
번지리하다,번지레하다
번페시럽다,번폐스럽다
벨꼴시럽다,꼬락서니가 별나다
벌그리하다,벌그레하다
벌그무리하다,벌그무레하다
벌그수룸하다,벌그스름하다
벌그수리하다,벌그스레하다
벌그쭉쭉하다,벌그죽죽하다
베락겉다,벼락같다
벤덕시럽다,변덕스럽다
벤벤찮다,변변찮다
벤암엄따,변함없다
벨다르다,별다르다
벨벨시럽다,별스럽다
벨시럽다,별스럽다
벨쭉시럽다,별쭝스럽다
별쭉시럽다,별쭝스럽다
보돌보돌하다,보들보들하다
보드리하다,보드레하다
보루다,바르다
보시다,부시다
보잘것엄따,보잘것없다
볼강시럽다,볼강스럽다
보푸리하다,보풀보풀하다
보핳다,보얗다
복닥하다,발그스름하다
볼구수룸하다,볼그스름하다
복잡다,복잡하다
본디없다,본데없다
볼고롬하다,볼그름하다
볼구리하다,볼그레하다
볼구무리하다,볼그무레하다
볼르다,바르다
볼상사납다,볼썽사납다
볼촉시럽다,별스럽다
볼품엄따,볼품없다
볽다,밝다
부굴부굴하다,부글부글하다
부꾸랍다,부끄럽다
부꾸럽다,부끄럽다
부랑하다,사납다
부랑하다,불량하다
부랑시럽다,사납다
부시시하다,부스스하다
부질엄따,부질없다
부트다,저리다
북실북실하다,북슬북슬하다
분답다,분잡하다
분답시럽다,분잡스럽다
오라지다,고소하다
오불시럽다,올지다
오목갖다,올목갖다
오분시럽다,올지다
옴박하다,오목하다
옹굴지다,옹골지다
옹숙하다,옹색하다
외릅다,외롭다
우굼하다,우긋하다
우뚯하다,머쓱하다
우사시럽다,우세스럽다
우십다,우습다
우악시릅다,우악스럽다
우엄하다,위험하다
우움타,위험하다
우터럽다,위태롭다
우투룹다,위태롭다
우트럽다,위태롭다
우티하다,위태하다
웅퉁시럽다,퉁명스럽다
유달시럽다,유별스럽다
유달하다,유별나다
유덕시럽다,억척스럽다
음달지다,응달지다
음숭시럽다,음흉스럽다
음숭하다,음흉하다
이니꼽다,아니꼽다
이뻐다,예쁘다
이습다,우습다
이십다,우습다
일척다,이르다
기허다,귀하다
까까롭다,깔끄럽다
깋다,귀하다
까그랍다,깔끄럽다
까끄럽다,깔끄럽다
까끄리하다,깔끄럽다
까다랍다,까다롭다
까달스럽다,까다롭다
까더럽다,까다롭다
까드랍다,까다롭다
까딱까딱하다,아슬아슬하다
까리까삼하다,깔깔하다
까무꾸룸하다,까무끄름하다
까무꾸리하다,까무끄름하다
까무리하다,까무레하다
까무수룸하다,까무스름하다
까무수리하다,까무스레하다
까무짭짭하다,까무잡잡하다
까뭏다,까맣다
까빠리다,가파르다
까실까실하다,까슬까슬하다
까치리하다,까칠하다
까푸다,가파르다
까풀다,가파르다
까풀막지다,가파르다
깍차다,가득하다
깐지랍다,간지럽다
깔끄레하다,개운하다
깔끄리하다,깔끄럽다
깔끔받다,깔끔하다
깔끗하다,깨끗하다
깔딱스럽다,까다롭다
깔푸르다,가파르다
깔컬하다,깔끔하다
깔푸막지다,가풀막지다
깔풀막지다,가풀막지다
깜쪽겉다,감쪽같다
깝깝다,갑갑하다
깝깝하다,갑갑하다
깨거럽다,간지럽다
깨곰하다,개운하다
깨까랍다,깨끗하다
깨깡시럽다,새삼스럽다
깨꺼럽다,간지럽다
깨꺼럽다,깨끗하다
깨껌하다,깨끗하다
깨껌허다,깨끗하다
깨꼼하다,개운하다
깨꿈밪다,깔끔하다
