dialect,standard
분솔,면분솔
분질,분길
불가락,부젓가락
불가래,부삽
불갈래,부삽
불개,불알
불거지,부룩소
불건세,털의 빛깔이 붉은 소
불건소,털의 빛깔이 붉은 소
불공구래,부삽
불구디기,불구덩이
불기,고자
불기,둘치
불까락,부젓가락
불깨미,불개미
불꾹새,뻐꾸기
불다루개,부손
불랑자,불량자
불덩거리,불덩어리
불돋이개,심돋우개
불동,부룻동
불두둑,불두덩
불똥,보리수나무의 열매
불매,풀무
불무깐,대장간
불미불미,부라부라
불받침,다리쇠
불벹,불볕
불살,노을
불상넘,불상놈
불상추,상추
불상추삼,상추쌈
불새,노을
불손,부손
불수군포,부삽
불쎄,부시
할부씨,할아버지
불앙당,불한당
불야시,불여우
불융거리,불잉걸
불융구리,불잉걸
불펭,불평
불잉거락,불잉걸
불저까치,부젓가락
불제까치,부젓가락
불종지,종짓불
불중기,종짓불
불지개,부젓가락
불지까치,부젓가락
불지우개,부삽
불짓가락,부젓가락
불쭈개,부손
불찍개,부젓가락
불티이,풍선
불펜,불편
불치벵,불치병
불칼,매우 급한 성질
불통,풍선
불통,화통
붓고랑,봇도랑
붓따까리,붓두껍
붓자루,붓대
붓자리,붓대
붓집,부싯깃
붕구,풀무
붕알,불알
붕알시게,추시계
비끼위,위와 옆의 중간 방향
뷔쎄,부시
브르등그지,버르장이
브르땡머리,버르장머리
브르자아,버르장이
비간,비관
비갯심,베갯속
비게,비계
비게덩거리,비곗덩어리
비기,비계
비까리,병아리
비까리,가리
비끼아래,아래와 옆의 중간 방향
비누각,비눗갑
비눈,진눈깨비
비눌,가리
비는질,마름질
비늘,가리
비늘,볏가리
비늘가리,낟가리
비단가리,사금파리
비단카리,사금파리
비달,비탈
비담카리,사금파리
비당카리,까팡이
비둘키,비둘기
비둠,비듬
비드마,비듬
비새,뱁새
비들키,비둘기
비딸,비탈
삐라,전단
비럭,벼랑
비럭,벼락
비럼,바위
비럼,벼랑
비렁,바위
비심마,비약
비렁내,비린내
비록,벼랑
비루기,벼룩
비륵,바위
비륵,벼랑
비름,벼랑
비릉,바위
비릎,볏
비리,진딧물
비빈국시,비빔국수
할부지,할아버지
비버미,조리
비샛물,낙숫물
비설,볏
비암쟁이,뱀장어
빌일,별일
비앰다가리,가오리연
비얍새,뱁새
비오동나무,벽오동
비우,비위
빤쭈까리,소꿉질
비지,빚
비털,비탈
빅녁,벽력
빈다리,비탈
산우달,산달
빌갱이,병아리
뽄,본
빗,그네
빗대,댑싸리
빛,빗
빙드이,팽이
빙빙이,팽이
빙싱이,병신
