dialect,standard
맹금나무,청미래덩굴
맹도리,맨드리
맹맹이,칼새
맹물,민물
맹물게기,민물고기
맹물고동,다슬기
맹물새비,생이
맹물자어,뱀장어
맹물파래,이끼
머개,머루
머구삼,머윗잎쌈
머거댕이,머리끄덩이
머구,머루
머굿대,머윗대
머꺼대이,머리끄덩이
머꺼딩이,머리끄덩이
머꺼리,머리카락
머끄닥,머리카락
머끄당,머리끄덩이
머끄대이,머리끄덩이
머끄디,머리끄덩이
머끄지,모꼬지
머슴새,박새
머디,마디
머래,머루
머래딸,머루
머리끼댕이,머리끄덩이
머리띵이,머리통
머리막,머리맡
머리뻬,머리뼈
머리뻰,머리핀
머리수군,머릿수건
머리질,머릿결
머리카래이,머리카락
머리짱배기,정수리
머리카대이,머리카락
머리카랭이,머리카락
머리커럭,머리카락
머릿가닥,머리카락
머릿딩이,가르마
머마,사내아이
머섬살이,머슴살이
머심살이,머슴살이
머스마태,소년티
머슴둘레,민들레
머슴마,사내아이
머슴아그,사내아이
머쓰매,사내아이
머지,메주
머카락,머리카락
머커락,머리카락
머크당,머리끄덩이
머크락,머리카락
먹구,귀머거리
먹기,귀머거리
먹깨,참깨
먹싱,먹성
먹통,귀머거리
먹티,먹통
먼당,산마루
먼대이,산마루
먼댕이,산봉우리
먼뎅이,마루
멀터락,머리털
먼자,먼저
먼젓분,먼젓번
먼제,먼저
멀거딩이,머리카락
멀구,무릇
멀굿,무릇
멀꺼작,머리카락
멀꾸뎅이,머리끄덩이
멀끄대이,머리끄덩이
멀끄대이,머리카락
멀끄데이,머리끄덩이
멀끄디,머리끄덩이
멀끄떼이,머리끄덩이
멀끄랭이,머리카락
멀끄랭이,머리끄덩이
멀랑,마루
멀카닥,머리카락
멀카드락,머리카락
멀카레기,머리카락
멀크데이,머리끄덩이
멀크락,머리카락
멀크래이,머리카락
멋자구,멋
멍기,멍게
멍내기,명매기
멍다리,무태상어
멍멍이탕,개장국
멩실,명실
메늘아,며늘아기
메늘아아,며늘아기
멍취이,멍청이
멍칭이,멍청이
멍티,멍청이
메구지,메기
메갈이,정백미
메거지,메기
메거지새미,메기수염
메그지,메기
메기,동갈메기
메꾸리,멱서리
메네리,며느리
메누리심,며느리고금
메느리똥딲개,며느리밑씻개
메느리심,며느리고금
메느릿감,며느릿감
메늘심,며느리고금
메늘아,며늘애
메달가지,모가지
메답,묘답
메두칼,면도칼
메떵,뫼
메떵거리,뫼
메뗑기,매끼
메뗑이,매끼
메똥,뫼
메뜨기,메뚜기
메뜨이,메뚜기
메띠,메뚜기
메띠이,메뚜기
메띵이,메뚜기
메래,모래
메레치젓,멸치젓
멩치끝,명치끝
메루치,멸치
메루치젓,멸치젓
메르시림,며느리고금
메르치뽂음,마른멸치를양념을넣고볶아서만든반찬
메르치젓,멸치젓
메릿딩이,모룻돌
메릿심,며느리고금
메묵,메밀묵
메물가리,메밀가루
메물국시,메밀국수
메물꽃,메밀꽃
메물끼,메밀껍질
메물묵,메밀묵
메물밭,메밀밭
멩치뻬,명치뼈
메빵,멜빵
메빵,밀삐
메사니,메아리
메사이,메아리
메산,메아리
메서숙,메조
메신,짚신
메신째기,짚신짝
메씰자리,묏자리
멘사무소,면사무소
메악,미역
메약,미역
메양,모양
메억,미역
메억기,미역귀
메엉,명
메영,무명
메줏디,메줏덩이
메월,명월
메이,명의
메자리,묏자리
메잔수,메조
메조비,메조
메즘시리,메조
메지,묘지
메지기,뫼지기
메지미,겨
메칟날,며칟날
메터,묏자리
메터리,미투리
멕,멱
멕기칠,도금칠
멕더리,멱서리
멕데미,목덜미
멕사리,멱살
멕사리,목사리
멕살,멱살
멕살가지,멱살
멕살잽이,멱살잡이
멕서리,멱서리
멕서리,멱살
멘,면
멘건,면경
멘겅,면경
멘겡,면경
멘경,면경
멘내,면내
멘도기,면도기
멘도날,면도날
멘도질,면도질
멘두,면도
멘두칼,면도칼
멘메뜨기,여치
멘민,면민
멘발,면발
멘빗,면빗
첫데,첫도
멘살,멥쌀
멘살가리,멥쌀가루
멘살미음,멥쌀미음
멘살밥,멥쌀밥
멘상,면상
멘상,면상
멘상,면상
멘쌀,멥쌀
멘쌀가리,멥쌀가루
멘쌀미음,멥쌀미음
멘연치,여치
멘종,면종
멘지,먼지
멘포,면포
멘헤,면회
멘헤소,면회소
멘헤실,면회실
멜고,멸구
멜끈,멜빵
멜따구,멸치
멜젓,멸치젓
멜짱,멸치젓
멜치젖,멸치젓
멜타구,멸치
멤,몸
멧국,냉국
멧나락,메벼
멧대아지,멧돼지
멧동,뫼
멧딩,뫼
멧부랑,멧갓
멧부랑,뫼
멧자리,묏자리
멧젓,멸치젓
멘,면화
멩가,명가
멩감재이,소금쟁이
멩건,면경
멩곡집,명곡집
멩군,멍군
멩내기,명매기
멩내이,명매기
멩냉이,명매기
멩년개,내년
멩년도,명년도
멩답,명답
멩당자리,명당자리
멩삭,명색
멩시,무명씨
멩매기,명매기
멩매이,명매기
멩베,무명베
멩산,메아리
멩산,묏자리
멩상,명색
멩색,명색
멩석자리,멍석자리
멩씨,면화씨
멩암,명함
멩암판,명함판
멩이,명의
멩절놀이,명절놀이
멩지,묘지
멩지옷,명주옷
멩창,명창
정구지,부추
멩태국,명탯국
멩태알,명란
멩태포,명태포
멩포수,명포수
며기,모기
멱살가지,멱살
며로치,멸치
며르어치,멸치
며르치,멸치
며커리,미투리
면겅,면경
명석자리,멍석자리
멸고,멸구
명내기,명매기
명매이,명매기
명씨,무명씨
모갈,모래
모개술,모과술
모개주,모과술
모갯불,모깃불
모구구디기,모기구덩이
모구약,모기약
첫머니,첫머리
모그자리,못자리
모까지,모가지
모꽂기,모내기
모꾸,못
모끌레,광대나물
모나락,메벼
모냥,모양
모당가리,마들가리
모당가리불,모닥불
모대미,매듭
모도,모두
모도,모두
모드래기,멍울
모듬박질,달음박질
모듬해,몇종류의물고기를섞어서만든회
모듭,매듭
모디미,매듭
모뚜둑,못
모뚝,못
모띠이,모퉁이
모래문저리,보리멸
모래문지리,보리멸
모래빵꾸,펑크
모랭이,모퉁이
모레고페,글피
모레구페,글피
모렝이,모롱이
모레그고페,그글피
모레이,모롱이
모롶,무릎
모룬버짐,마른버짐
모룽이,모롱이
모른버짐,마른버짐
모리,멀미
모목,묘목
모리때,대들보
모린바가치,마른바가지
모린버즘,마른버짐
모린버짐,마른버짐
모린지침,마른기침
모린풀,마른풀
모린행지포,마른행주
모릿대,마룻대
모릿뎅이,모루
모릿도,모루돌
모릿디이,모루
모메,메꽃
모메꽃,메꽃
모새,모래
모새밭,모래밭
모수리,모서리
모숨기,모내기
모시리,모서리
모시통,모이통
모실,마을
모심,머슴
모쌀,모래
모에,멍에
모오리,멍울
모자발,모자반
모자창,모자챙
모장가리,마들가리
모재기,모자반
모재이,모자반
모쟁이,모자반
모제기,모자반
모지,묘지
모지기,모자반
모지램,모자람
모캐,모깃불
모캣불,모깃불
모켓불,모깃불
모콜,왕골
목겍,목격
모터,묏자리
모토이,모퉁이
모툉이,모퉁이
모티,무더기
모틴,모퉁이
모팅이,모퉁이
목각지,모가지
목간지,모가지
목골,왕골
목골자리,돗자리
목구녕,목구멍
목구뭉,목구멍
목깔비,갈기
목꽤이,곡괭이
목대기,막대기
목도리깨,옹헤야
목도리깨재이,목도리깨질
목동가지,모가지
목등뻬,목등뼈
목벵,목에생기는병
목삭,멱살
목살,멱살
목새,모래
목새기,씨아
목섬,목숨
목수건,목도리
목수군,목도리
목정,목청
목좃,목젖
목지,몫
목징,목청
목추리,뒷덜미
목충,목청
목하꽃,목화
목하사이,목화송이
목하씨,목화씨
목해꽃,목화
몪음,묶음
몬나이,못난이
몬내미,못난이
몬당,마루
몬대이,산마루
몬딩이,꼭대기
못자릿간,모판
몬침,먼저
몬티이,모퉁이
몯메느리,맏며느리
몯며느리,맏며느리
몯물,맏물
몯사우,맏사위
몯상주,맏상제
몯아들,맏아들
몯이,맏이
몰,말
몰개,머루
몰국,국물
몰기,모래
몰뚝각시,목말
몰디이,모루
몰딩이,모루
몰랑,산봉우리
몰륜게기,마른고기
몰밤,마름
몰밤,마름
몸똥아리,몸뚱어리
몸뜅,몸뚱이
몸띠이,몸뚱이
몸띵이,줄기
몸삼,몸싸움
몸쌈,몸싸움
몸질,몸살
몸통뻬,몸통뼈
몸티이,줄기
못대,석쇠
못따까리,못대가리
못마당,집모퉁이에있는마당
몽다리구신,몽달귀신
몽당주우,잠방이
몽당처매,몽당치마
몽당치매,몽당치마
몽대기빗자리,몽당빗자루
몽대이,몽당이
몽덕딸,멍덕딸기
몽디이,몽둥이
몽디이맛,몽둥이맛
몽디이세레,몽둥이세례
몽디이질,몽둥이질
몽띠,몽둥이
몽매,올가미
몽매쌀,매조미쌀
몽에,재갈
몽우리,멍울
서드레,허드레
몽치메,목침
몽치이,목침
몽칭이,목침
몽티이,모퉁이
뫼똥,묘
묌,몸
묌살,몸살
묏동,뫼
쥐비,조
쥐인,주인
즈녁,저녁
즈닉,저녁
즘,주근깨
즘방,점방
